episode,last reward,average reward,step0,step1,step2,step3,step10,qmodel,qemodel
-8.515895081333683,-8.633262348481118,-8.749839198458137,-9.553285895060233,-8.267598980514283,-8.267241090399681,-8.26756795632685,
20,-108.14845934284718,-112.14892699561928,-9.47777985671424,-9.595778024580312,-9.763357468331934,-10.24966620661802,-9.467028543766336,-8.669215649533175,-8.697677663124523,
40,-132.4641052033567,-117.36003230836346,-9.298011020124514,-9.323203043946538,-9.473551027588396,-10.132371839769407,-9.238584226939624,-7.296728453601652,-7.343571016679339,
60,-110.3291002038068,-118.1884828765216,-9.359033836953797,-9.433407378265573,-9.536117627537562,-10.127076444199894,-9.373879229585595,-7.035515759807887,-7.0085558446628395,
80,-104.23590054051469,-121.16937526914738,-9.32691298417412,-9.451442286877299,-9.607852617565001,-10.125066908515041,-9.388267332572996,-7.138680040080028,-7.1685303491967085,
100,-127.16414860568376,-121.99936299419383,-9.217266248055033,-9.325914365959882,-9.397293861187842,-10.024427819513052,-9.10652158521625,-6.939992736433166,-6.972403896824452,
120,-144.61700996640272,-128.0773130881246,-9.175339195298548,-9.27652980936494,-9.299410642208272,-9.62685496200322,-9.015487669356599,-6.842257604337493,-6.8117746407428905,
140,-154.45643536559757,-135.33223637366623,-8.991281568329867,-9.04922551628755,-9.20607412124247,-9.70928872752732,-8.876191515119874,-6.798811240934157,-6.799288313782164,
160,-162.80857238725525,-142.90569451018746,-9.005757341977318,-9.115727683238124,-9.061177510831165,-9.53462482037786,-8.885902610154897,-6.697617121522854,-6.682690957324339,
180,-159.71332853394944,-153.85506987399077,-8.683996981444276,-8.803425625265225,-8.864650250193025,-9.429502159368296,-8.690802919959939,-6.573032210518335,-6.550040895555083,
200,-195.67193136284186,-162.23971300128574,-8.47702878767756,-8.425835617178041,-8.398057337596978,-9.379030089632753,-8.572989166321516,-6.5174751532416915,-6.538044111597012,
220,-174.77453681034083,-165.17367321340197,-8.426028208345853,-8.48278781054587,-8.557761138157913,-9.178636673698431,-8.24714565577443,-6.134635671111488,-6.123531810710307,
240,-239.59586689198275,-181.90332711845753,-8.229668300970005,-8.30942440131883,-8.450870644280533,-8.989557460550657,-7.997994989856328,-5.962869812868237,-5.945409533194539,
260,-176.44209586079586,-194.1274400040039,-8.023685725016755,-8.143055956786554,-8.1697388977276,-8.75914089232301,-7.869429089944039,-5.84775813311565,-5.85777898911266,
280,-231.53171407634397,-212.1503822804978,-7.857037516370706,-7.993765352387247,-8.082832663585263,-8.566764201274403,-7.785819095711287,-5.6885050995543205,-5.6756552991339335,
300,-212.16543157975835,-224.8946405323034,-7.763783666072916,-7.828431190021061,-7.936760712156437,-8.501583392836045,-7.672888545152213,-5.49324014737937,-5.534015741226554,
320,-218.99250616770925,-244.32494012594117,-7.658599391770992,-7.866135264242171,-8.039919151644657,-8.529612866803681,-7.535293386211011,-5.3768623563035245,-5.363195807274414,
340,-304.38996376185753,-262.38724303160944,-7.625007046472386,-7.728636111346034,-7.739436443984784,-8.32912150887452,-7.429244837749617,-5.011191485786031,-5.032289712668398,
360,-290.00585950567165,-280.2570390284352,-7.543083654866478,-7.5289051831278595,-7.5649919433229655,-8.156721383400049,-7.329548939423109,-5.009423248363693,-4.989058941718571,
380,-271.9850943449825,-294.2901543903778,-7.333545136323678,-7.4030715622217595,-7.447093461669664,-8.031583154427457,-7.285514780447649,-4.9096151110329025,-4.908592613498336,
400,-323.11261802425884,-302.6806844025589,-7.354724783017464,-7.389611387986288,-7.4903183891863385,-7.961888847572991,-7.230742499283496,-4.68948142944123,-4.709825668113734,
420,-271.1236075445743,-323.0627751623786,-7.234116052698788,-7.2887831556214895,-7.392874460186114,-8.086177738772916,-7.13053417256646,-4.66472239547173,-4.682320548357246,
440,-254.13634549327026,-335.58320804752924,-7.1450678670175725,-7.23657425251632,-7.300652272790861,-7.925224418917463,-7.0437372413986035,-4.43329179170754,-4.432634277707211,
460,-435.1774568574797,-352.51518822615725,-7.183562046138336,-7.198401268083902,-7.291607843910779,-7.880418771439788,-6.985812981027069,-4.441671464210583,-4.467443665086091,
480,-367.31748798961877,-368.1815387541999,-7.136375383159416,-7.247268471303273,-7.361477241604101,-7.952426660593204,-7.06083732803986,-4.4196300305897545,-4.409920797298165,
500,-326.14536644780003,-368.20077425553603,-6.896364131436242,-6.998878613773481,-7.047960325531281,-7.791325306503639,-6.757506645151532,-4.31854206452872,-4.346396701642344,
