episode,last reward,average reward,step0,step1,step2,step3,step10
-8.156833323379718,-8.404970804471871,-8.529438950831924,-8.634086883514943,-9.492785403071178,
10,-102.24708635138795,-110.26290842386246,-9.681368600810234,-10.007605750709633,-10.047394891940716,-10.192853571931725,-10.59245592174869,
20,-104.56330376893038,-99.26310808035281,-9.639740463085504,-9.915923587405448,-9.92795278330597,-9.976450266076402,-10.58551201008771,
30,-82.26087191454596,-86.59355285176196,-9.958840404341096,-9.985722067256816,-10.071478407995542,-10.204600468194524,-10.90226912105245,
40,-63.740698149619206,-79.0236562203934,-10.189697559179928,-10.159575905907248,-10.263198075869383,-10.257057979393934,-10.668691357677073,
50,-76.59030862167185,-71.33925187971909,-10.11764825349794,-10.03473242343399,-10.113114268686223,-10.19380910063112,-10.961656245648154,
60,-73.13004067062595,-64.01618504786629,-10.626041886054518,-10.387660026970073,-10.60135519565503,-10.733323665948813,-11.226005173131657,
70,-66.83065897379474,-57.20970755337569,-10.17540819667947,-10.139433896026162,-10.127568545599955,-10.242307479252247,-11.262974653033286,
80,-52.74827686281144,-51.60494767292008,-10.652999059011929,-10.497233092118082,-10.722966035527822,-10.867066049281384,-11.251270042242773,
90,-43.25841384767207,-47.114127481068564,-10.544311812055074,-10.693726759917459,-10.73238185724448,-10.851558856034371,-11.387846942579696,
100,-46.6825734353778,-42.82564695895396,-10.907285661031564,-10.854286922502947,-10.741763181091935,-10.874012974161314,-11.461084439243876,
110,-37.59146114487441,-38.606872780907494,-11.026467411160622,-10.659486408407531,-10.86736816535661,-11.02900153946355,-11.735863899524489,
120,-41.777912409434705,-35.836506691712934,-11.093770043168094,-11.108767318087768,-11.245915493886818,-11.357612597038782,-11.86222394977731,
130,-28.60177027100975,-32.74790122703299,-11.333263778891565,-11.217805037094417,-11.321013058707472,-11.500249803643387,-12.092683133219024,
140,-27.27278429664672,-30.245418776602424,-11.218829625803592,-10.91544087514813,-10.95339048883787,-11.04985367050326,-11.864223712102666,
150,-19.443299710713152,-28.03849825436418,-11.203206506320065,-11.055103895291436,-11.245989486857331,-11.3552422894419,-12.129546805231358,
160,-33.19292542597526,-25.6953027705847,-11.2940155439192,-10.981285637498901,-11.186936568199467,-11.18644163306379,-12.059833639715707,
170,-26.179326712994307,-24.33692587911983,-11.48855666165856,-11.109897729212742,-11.195435864204873,-11.312435761469294,-12.194398839132093,
180,-20.354215336532032,-23.077461364814877,-11.35236362443712,-11.160753631655437,-11.386353880406554,-11.260539194923295,-12.22527239898438,
190,-17.34537986757888,-21.309103984824944,-11.322456207951719,-11.18862293557742,-11.408189606974542,-11.507812005727937,-12.309637258251156,
200,-15.790707703056615,-19.75130196706421,-11.574632738168658,-11.557622705876867,-11.693299860787898,-11.785550345382548,-12.30324593435219,
210,-16.482700447722806,-18.84296628509175,-11.616029826666491,-11.712248358988036,-11.856882447299531,-11.905883911565546,-12.355459330022388,
220,-23.33060320322055,-17.978676329833505,-11.839804150045316,-11.67864200689212,-11.861869704973893,-12.054311726101606,-12.43699084419818,
230,-21.3682016001132,-16.897640051017262,-11.566190650239127,-11.428899044627165,-11.651992387466116,-11.763319193977534,-12.468169473485244,
240,-17.886366145775753,-16.045520156645967,-11.72200891867508,-11.519668301715623,-11.526266606184114,-11.554831958318875,-12.536183727377246,
250,-13.968581051366378,-15.747722198023082,-11.953746876977899,-11.81593967879374,-11.819675385191479,-11.902499487866876,-12.590617331806168,
260,-19.52682785164311,-14.776829354779633,-11.663812547681323,-11.530769048713356,-11.622219666293539,-11.729734637982576,-12.853731461403253,
270,-15.523330961466488,-13.799126541000273,-11.950516721599099,-11.751621121628721,-11.821939379479408,-11.952226516306009,-12.365701843920114,
280,-17.023536114921285,-13.172356768576316,-11.928756841554385,-11.832988888647503,-11.961654756854356,-12.039233405885458,-12.628040088848202,
290,-16.38041761237937,-12.645725417224353,-12.106791655347603,-12.037293458484418,-12.313537668240603,-12.200072396988087,-12.404151665544312,
300,-9.924161116625204,-12.57578137263036,-11.855805907490998,-11.957650674921863,-12.09302644840419,-12.122936158442519,-12.666454618800163,
310,-8.442614064298438,-11.99394915452668,-11.705300937215304,-11.559501855445072,-11.667308694680727,-11.786677159112967,-12.777595570985477,
320,-11.24861628192241,-11.479502621224533,-11.672764392056772,-11.738943960362578,-11.87912882858177,-12.04053323511143,-12.728184460065963,
330,-13.250552247610567,-11.254818740547112,-12.027439102267268,-11.571169829462223,-11.710964434898905,-11.950752519631324,-12.732693791704047,
