episode,last reward,average reward,step0,step1,step2,step3,step10,qmodel
-11.650525230272907,-11.926191874634167,-12.3767461363844,-12.694800440933664,-13.050306313240778,-11.650921880115066,-11.650627782895851,-22.12110088898716,
1,-13.183739292664853,-2.7089434408111135,episode,last reward,average reward,step0,step1,step2,step3,step10,qmodel
-11.806737269595338,-12.035086645340849,-12.432618888386129,-12.7534987346764,-13.388433898640812,-11.807937242413706,-11.807186596317582,-22.853102626370607,
1,4.548524951372883,4.887957426211514,episode,last reward,average reward,step0,step1,step2,step3,step10,qmodel
-12.133198976486554,-12.346037895994208,-12.654356556504851,-12.882385819257992,-13.37547556187631,-12.131900594480081,-12.133306580089373,-23.176425964223945,
1,-6.830705097818724,2.433566775893338,episode,last reward,average reward,step0,step1,step2,step3,step10,qmodel
-12.180613363700726,-12.425887137286926,-12.780610559808247,-13.012545495813104,-13.454938705902643,-12.18131445578787,-12.180578034123219,-22.902929654526496,
1,8.092001367238625,-1.0139439261746928,episode,last reward,average reward,step0,step1,step2,step3,step10,qmodel
6,59.4206601513226,53.71965383384015,-13.168950013205585,-12.743849963079214,-13.056816619393297,-13.014631108084938,-13.877705816409852,-12.773955155135337,-12.951480306682937,-15.058564793417617,
6,34.38811757118418,30.20641804786875,-14.462776303237744,-12.851041212132516,-13.423075979290521,-13.627234929661126,-15.041719756618964,-13.04482111007051,-13.924259908135955,-13.776500266848972,
6,23.552468960846138,25.680111579409434,-13.004183704879368,-12.47982059215459,-12.828711449234977,-13.096543329230155,-13.517628623262226,-12.609998703318249,-12.75947058422368,-15.812798010921108,
7,107.46871192658823,118.98829768079071,-13.742866819606636,-13.014102595850954,-13.568872908066057,-13.872362915619856,-14.990723770292925,-12.860992735465068,-13.175010316627466,-14.323674594289638,
7,71.67978755127605,52.52455825261742,-13.296281374582142,-12.355300896702312,-12.655031784823104,-12.816744991190847,-14.209835473350651,-12.635763150567502,-12.97661921490174,-13.991602975737969,
7,40.26953706419311,51.42169246895151,-13.732763373259786,-13.448759064779951,-13.659029031355011,-13.852215124826373,-15.163881687836891,-12.99660645136975,-13.463341723536566,-14.090413430331923,
7,31.729411940189216,31.06016082852662,-15.169928201745819,-13.650172995009296,-14.616202018065104,-14.929649260620204,-16.29425510458543,-13.851164263207783,-14.94190627092164,-14.108231637277447,
7,28.49855378229091,27.352923955214173,-13.752433764185362,-12.610308146684261,-13.132122770946124,-13.384664454692116,-14.302736777044812,-12.998847265333202,-13.427848232819871,-14.57338327042265,
8,77.80797579954178,70.24647741288474,-13.274414510475756,-12.574025005624375,-13.13989803709486,-13.45454720746014,-13.779211209761243,-12.43437082391618,-12.603230377486254,-15.345336298782769,
8,152.66815734515114,140.0711698490565,-12.3420634284036,-12.392866645193854,-12.533984481356738,-12.603654954312699,-12.78523510404917,-12.003594043482714,-12.063651570660557,-14.555404146665206,
8,71.38307051730386,112.85714687923588,-14.154523515292155,-13.53745502309204,-14.224284541677834,-14.318195412428624,-14.853210668177615,-12.949266756602361,-13.007748529223736,-14.615232759657845,
8,25.2591055171436,32.957114137904625,-14.239448823330001,-12.930708510972499,-12.938310586979894,-13.176576705571613,-15.092550054044803,-13.779576063536815,-14.033726726753416,-15.1559032052551,
8,29.29460468154628,31.927146388863775,-13.276915930431338,-11.939847314025469,-12.390413704908871,-12.619715006615424,-13.961899575210552,-13.402445740360381,-13.437507404785295,-16.879744094479026,
9,80.05802613235169,83.69325229542903,-11.120007715800662,-10.932766380007566,-11.092318532705436,-11.23318604005892,-12.10508746294941,-10.990882098429765,-11.014257642188156,-14.661424396570577,
9,243.27750526255474,197.0856113385653,-12.830565325877032,-12.822942018775274,-13.04469406871252,-13.204324806874139,-14.01435784143868,-12.333642005985046,-12.646683914815263,-14.276519934915601,
9,70.3897331889579,108.69724052959982,-14.92784819493976,-14.771664372442165,-15.247784460182377,-15.387152265606897,-16.035681548466915,-14.501233066217422,-14.721094215987986,-15.527998434243852,
9,36.34152488380473,35.29745388175706,-14.244517594515793,-14.18343710781454,-14.306010316929036,-14.27760309311027,-14.269354625166303,-13.667050967476442,-14.02113752199904,-14.906073224816376,
9,20.14798232449861,34.898470525734,-10.786881641771307,-10.702791994011273,-10.910925458921708,-10.998804973657075,-11.748371971007568,-10.375642733527261,-10.748630172846692,-11.342447484196459,
10,218.47561375690972,184.79942722290954,-13.347146690835592,-12.712648863838576,-12.947243586218752,-13.13177586722246,-13.846234029679302,-13.15447618231682,-13.219562384718188,-17.53738863089073,
10,125.23915272468791,115.75189066189498,-15.431796125014854,-14.262326080566853,-14.343243927107324,-14.297132625942679,-15.203995081655117,-15.027773432337758,-15.157088887233426,-17.53213592059651,
10,36.29240605949049,34.03553698916447,-13.365026495623981,-12.964306399022206,-13.303432727204212,-13.469548030514447,-13.786797119909712,-12.877149355898732,-13.145606297522098,-14.23941465901518,
10,125.39463885399269,114.93063210165906,-14.319378666353023,-13.694452914800378,-14.023141492080194,-14.134882071580618,-14.452165439694491,-13.554851503089688,-14.06624050933411,-14.31439956009197,
10,32.72672994589368,36.33439943180438,-10.475455021375145,-10.328691451165724,-10.436289094089133,-10.436242230183066,-11.04389351815218,-10.465540144420522,-10.454027524141276,-14.558938867682278,
11,243.5142765051716,198.24067983531813,-12.682850455696155,-12.419870278613649,-12.619620424941003,-12.703119555296514,-12.95390348766533,-12.551711479590752,-12.53295829052665,-18.017233593426912,
11,177.74176730302045,173.75495154680308,-11.725106528587164,-11.767442267112934,-11.839066418414022,-11.993298536469975,-12.447822903770435,-11.64393509958486,-11.67667650988211,-16.416157887325927,
11,218.21980620877414,182.16386006640332,-15.039991345283987,-13.878844499583106,-13.836159469903674,-14.182750228000366,-15.694528520375528,-14.645458584846464,-14.856378504667932,-16.217067636820204,
11,34.5100078151055,35.48271117878888,-14.132144702089017,-13.967332929199223,-13.650334995419398,-13.522931775693092,-13.65351434479695,-13.650593355897254,-13.665358358578416,-17.40942440890586,
11,38.485826966289004,35.89013605392436,-10.35161950598231,-10.687973206177373,-10.745833809089289,-10.752355114225292,-11.081964471107769,-10.361068460915305,-10.344876553546849,-14.610163842334094,
12,257.95785746833513,233.0473140225595,-9.87214560767179,-10.037077252001797,-10.151974698538453,-10.387636064784504,-11.10779843563395,-9.783428983197972,-9.787710887433313,-16.52625621076046,
12,263.14181355020963,228.43840438963775,-14.982782006917242,-13.515302132440658,-13.388146140039185,-13.590898673782615,-15.704801067721162,-14.751251336911404,-14.887665225314354,-18.310094031712115,
12,27.936061127811765,36.288261076466156,-11.173724964022973,-11.03633731417064,-11.217863935106179,-11.239487453856974,-11.850763090917509,-11.073286501842677,-11.109454303242908,-14.366903648688693,
12,168.06072845958886,180.40440507013943,-14.464776538779958,-13.719954209811723,-13.156694277243133,-13.039313943317683,-13.704407855052418,-14.379205715859836,-14.30936808901986,-18.174911582772104,
12,33.81442014316087,36.30256392461569,-10.36821132415481,-10.194357873176667,-10.357444380561724,-10.403592175117206,-11.046513252429806,-10.246993180559956,-10.269563757610175,-13.695659477467078,
13,242.27864249619714,244.92514895226518,-10.526586868870902,-10.47478833115358,-10.63966056982028,-10.69304595670915,-11.15806243538151,-10.319223840495015,-10.31449946080334,-14.987598199559441,
13,222.10742895423127,227.1452558830616,-14.854717643861326,-13.05378922790289,-12.769458444930697,-12.99886156101982,-15.390828589823876,-14.81943869360695,-14.900690528820252,-19.789945373307994,
13,39.67633953351497,38.47983777015772,-11.398807968792118,-11.372765177077774,-11.566611296383568,-11.698788008469057,-12.205611725147813,-11.155561880971797,-11.31975318930139,-13.436676176052687,
13,249.57553380097744,204.7764095857005,-15.21037289143482,-14.345704407522073,-13.81098115294566,-13.634804005480635,-14.131086926157819,-14.555661397946524,-14.589793436976674,-18.044893224238372,
13,36.350023709602816,36.86648196153366,-10.08391299134145,-9.969233074064537,-9.94193007257572,-10.059766608876489,-10.64211294730349,-10.08625979402434,-10.111468255467166,-15.12919558310942,
14,253.1787178459092,258.2138127462772,-10.29476566676332,-10.250891129451256,-10.535171943797284,-10.468289194333876,-10.604647224204824,-10.119157735310953,-10.135229346728373,-16.000731635145918,
14,233.3886201829489,257.5622369448876,-10.108505477146462,-9.759440337169977,-9.989731951125162,-10.190619797059469,-11.280628650024692,-10.100405783382433,-10.029559048549473,-14.341475203961865,
14,104.39114231813296,219.4300297561873,-15.462923008316158,-13.448426879119799,-12.964985668043179,-13.135445216235803,-15.406071542516408,-15.205709782775356,-15.255297405135291,-19.692016228743384,
14,36.63637363802041,36.72813337560152,-15.128571518421186,-14.528351835480446,-14.406821152073832,-14.398783825427873,-15.048934980403843,-14.782675376131234,-14.847813562337334,-19.626888324516884,
14,41.52568463858205,38.24642815590603,-9.653996261058133,-9.717307932975011,-9.889983380557817,-10.011620219483769,-10.618870475271395,-9.294320344036512,-9.464258399688656,-12.774069838649364,
15,256.33896971649364,229.51497739763408,-10.475075557368799,-9.993938941056816,-10.29065593394775,-10.457314266818049,-11.024277836891507,-10.387720616811333,-10.486908523899354,-11.808613424655517,
15,93.28395507774378,197.75731425666817,-9.42985360350987,-9.458353505911179,-9.52678030050985,-9.614230960339622,-10.019802572437209,-9.44017906229263,-9.442558308034949,-16.148203391564248,
15,264.71034343682055,272.0023113312042,-15.209439819508423,-14.124402088606752,-13.808367919562526,-13.840150557662184,-15.926535604910601,-14.7016676233434,-14.681017828683668,-18.803511174237325,
15,35.6127445382082,37.42906012210512,-15.213147050163098,-14.338081869763624,-13.913179547562066,-13.872479119619857,-14.569718751039952,-14.400179424180516,-14.594739227450694,-18.16748927905451,
15,42.27504946801878,40.29092275336578,-8.931485151240947,-9.025223133739916,-9.10431523433976,-9.268446099281146,-9.733359375377548,-8.971153167491567,-8.982477081661528,-15.108021953615737,
16,258.67430607758104,273.1903997381121,-10.22568954524475,-10.0612514000169,-10.024548140130742,-10.0053040712705,-10.645733946779709,-10.02322639127971,-10.04548810769757,-15.740656123137688,
16,262.5450183347342,265.36681853765043,-11.837272682975804,-11.204212486312015,-11.750183730766407,-11.93595334093053,-12.376655088588292,-11.25290125264632,-11.540586368664387,-13.19112937146574,
16,206.1364710554447,183.6661332599758,-15.572848996251013,-14.222490588928665,-13.834762378143054,-14.037235715654136,-16.064587979870225,-15.264375552603328,-15.251740233690251,-19.173939908239728,
16,38.891939271025,37.25743223679874,-15.018188744047276,-14.785818655809129,-15.001515450544831,-15.273988540105655,-14.756906077036223,-14.462652366518096,-14.637437949651517,-18.31218633035755,
16,45.1865416493613,45.570101651107684,-9.695654099352303,-9.73451116062475,-9.945684236133072,-9.959900998591827,-10.102769755273208,-9.626773858998176,-9.647178771895744,-14.793256080213501,
17,268.93618706872763,256.96683821862536,-9.509018829786518,-9.31301215915199,-9.407353335144574,-9.70531574294515,-9.904104867017068,-9.385121147235012,-9.367180551711082,-14.75860359464507,
17,267.34479912180075,264.27017501640677,-9.886971327245373,-9.87407084435244,-9.955824044624185,-9.996229938018928,-10.59224631583485,-9.798965372217994,-9.816286724999863,-16.20670325441683,
17,265.2106362222599,269.0473188740204,-15.418563436429434,-14.515053347207717,-14.246160593067264,-14.36602114181386,-15.748915126643828,-14.81992477261177,-15.066651954228972,-17.851222091748912,
17,39.60485171994535,39.626072167876245,-14.678039501727243,-14.499493497669654,-14.875494521637371,-15.070661765031192,-15.104796034422554,-14.645130260445308,-14.622346987054083,-18.636587699029395,
17,44.24037309394156,49.42384643017138,-11.233653257790264,-10.94400113844982,-11.20221090107003,-11.414145191214315,-12.30016563633438,-11.092254643010696,-11.156465216772512,-13.927624666250294,
18,155.20483841177472,187.9642000917461,-9.52180957298877,-9.531475035066844,-9.48240924527309,-9.664296729545196,-10.662318538972293,-9.424212443953204,-9.448411527708144,-14.38725128174828,
18,278.9054197602761,275.59244186079474,-9.553808838649537,-9.521999448601894,-9.723889326928736,-9.879412728461144,-10.199342049792994,-9.606429014487974,-9.607422836043975,-14.840879645935019,
18,271.71063375334376,268.58633984854015,-16.19241617024355,-14.552072740828123,-14.322720290839165,-14.441401852462475,-16.886384064434754,-16.07736430623711,-16.0906152562459,-21.48717203267764,
18,37.609122078478144,40.32141463659559,-14.754472839240718,-14.384414292359708,-14.535264753602165,-14.700364512211976,-14.66589069398959,-14.402222453526084,-14.434091483115832,-18.82332165782396,
18,46.93480258484951,52.92893922429883,-9.348565550245908,-9.40585421716586,-9.4898841142071,-9.728183005194353,-10.604151211127634,-9.154434617860545,-9.14983544970792,-16.190559798289836,
19,277.03315497670775,273.3517282133564,-9.998736380714947,-9.828472204378427,-10.248187211894425,-10.251573720829937,-10.514831123426143,-9.927772768042905,-9.949330493061499,-14.610704538140205,
19,168.40109020856667,257.0538440596006,-16.012892215897736,-14.536757664603577,-14.233024888898198,-14.400257630121107,-16.963483995474906,-15.75043443031187,-15.775787313936025,-20.679750378767185,
19,42.942473386395896,42.05887344244244,-9.342700861120312,-9.301623449896827,-9.557622099804055,-9.549088019452327,-10.113601568609756,-9.321344026792932,-9.322808430878336,-15.55946009166906,
19,252.88841212747732,240.17568763121497,-13.524383444540993,-13.555714850369123,-13.555969479135277,-13.673883356488783,-14.396421003245026,-13.29315938068998,-13.29279827693014,-20.902960563196945,
19,59.81517619346084,56.29306551885971,-8.893192987691537,-9.164084318906367,-9.248410543161858,-9.596742840531746,-10.192402055524745,-8.896806583245304,-8.870318983272718,-14.953039787091505,
20,291.82981066238267,283.75572089083937,-9.696762124155862,-9.725209915254819,-9.71656711914101,-9.737753006099632,-10.042833986724057,-9.737496791892616,-9.72861751977248,-15.481146896474993,
20,293.61462704857115,274.9932261045442,-15.674738594374135,-14.936950121766825,-14.875946242704607,-14.930958049887293,-16.64564870599772,-15.70884114455766,-15.714182062289419,-22.442848419525323,
20,41.91547895300211,45.06068069221157,-9.83471823149048,-9.92995500658602,-10.136602468418811,-10.153173142328301,-10.585595816969805,-9.675097900886794,-9.652446066110294,-13.814293236893255,
20,270.38146678760177,256.9326505907735,-12.420835227011743,-12.546623189030877,-12.877378925635611,-13.303721968012406,-14.338354353522336,-12.478510038315273,-12.497898337149644,-18.826600634580565,
20,56.075472401737336,57.90087858092984,-9.204632131701684,-9.246059214305587,-9.25666082109843,-9.510152329887028,-9.917721142770542,-9.233913360650305,-9.24923237395401,-15.866579014317544,
21,290.8008127805321,285.2636288202199,-15.129649756341715,-14.388651939495876,-14.20792675667535,-14.203057878084637,-15.918966169471794,-14.952313712077649,-14.954208457620144,-20.554042582089036,
21,49.963284837494555,51.13669374717309,-8.959942552387675,-8.747992144227307,-8.988776860407167,-9.086916297018435,-9.417250144039649,-8.810778156418593,-8.83708729285812,-13.883514364898579,
21,266.6039750499026,264.96911332258895,-9.793671513264847,-9.850742184198236,-10.015378717890334,-10.081757185407904,-10.240595160077344,-9.620678083598568,-9.620406410828846,-16.738777196474903,
21,276.89259404946193,280.19886023864126,-13.68742784271457,-13.525708791251564,-13.661904257275005,-13.601313946641628,-13.887825277181499,-13.46554284736602,-13.489502196579426,-18.807762959706988,
21,58.86751608110061,63.86994608059716,-12.796012041669645,-12.880220015052632,-13.024672797658782,-13.038009053446089,-13.822154409423536,-12.829038060805653,-12.827196388808977,-21.01463902250452,
22,65.07292182834648,65.60014043022316,-8.683427196050635,-8.331589306309837,-8.708154617594971,-8.746484465796465,-9.475677551329019,-8.565052959792787,-8.592433948188974,-14.138812535361152,
22,225.42459791461266,244.9882387212366,-9.28594121555225,-9.274929148402657,-9.327778127097927,-9.44278114372951,-9.853271886229702,-9.212167566729088,-9.262332589923181,-13.505226605403063,
22,275.3395915324906,273.00799727808067,-9.574938773006323,-9.028260538834784,-9.537605672409876,-9.897151259034482,-10.168582819574338,-9.333809976027878,-9.336674338421167,-15.130312878594424,
22,282.43940409589237,280.66828511084384,-13.195842075989587,-13.03186996574609,-13.305023393171613,-13.344460019945355,-13.968270697251137,-13.13680579466606,-13.150422076871859,-19.262386662992405,
22,72.88131003040566,65.61616453128222,-13.063306179998806,-12.852698117806852,-13.110140988882097,-13.184696751566173,-13.825803929181456,-12.986120335559963,-12.98695423742326,-19.076771655076087,
23,65.79900485609825,71.16040329129659,-10.09301576183042,-10.135095037793462,-10.31482232997555,-10.47254592589151,-10.81796291685511,-9.230047456423502,-9.396201173286629,-11.82226476790808,
23,207.81871368322612,246.45434435170637,-9.009469707653361,-8.737574407348994,-8.892953466140423,-9.065177641594959,-9.8231282462674,-8.849045667246868,-8.856925916004169,-14.412188058636614,
23,282.3086100757999,273.5088572852913,-9.463993404154833,-9.435468541815622,-9.451656973468,-9.54079191919609,-10.097005757636635,-9.482201346305848,-9.454292475917745,-13.648135533345426,
23,270.3666382025562,249.4486582648317,-12.739438390410399,-12.4480779528427,-12.57461530008634,-12.63559892102478,-13.290721872745893,-12.542312448932572,-12.544126864018866,-19.999860505018077,
23,68.43856145951241,72.37386271379195,-13.03377579526755,-12.94237892546765,-12.931010037641634,-13.108443289326301,-13.569766971587308,-12.958969491912164,-12.957112742751349,-20.177202433994104,
24,72.54218112649443,80.0340972780527,-8.819661014419859,-8.714840247352337,-8.648666365850012,-8.854064972929272,-9.456418503997178,-8.818733320978058,-8.806531165586868,-15.154755502937059,
24,285.47868076386305,287.1695619011067,-9.322282830327392,-9.19961631437649,-9.402799074532442,-9.514034907179905,-10.255306558442104,-9.127698220688906,-9.11958471541334,-14.468122475189766,
24,275.26623323142496,282.16257647626526,-9.29678013987263,-9.200416873155252,-9.314688717744687,-9.284917426526643,-9.88481308126208,-9.283218797797316,-9.288709538876857,-13.483954403172417,
24,290.51285413765453,278.04854393623293,-12.166965469837363,-12.244419332664428,-12.198231378639948,-12.438644213661634,-12.9763776915243,-12.213726640751366,-12.22147774865668,-18.119118315570002,
24,84.1820906511506,84.53013946853282,-12.287904978445392,-12.169548252898286,-12.376203095898042,-12.358941249171995,-13.015075944389572,-12.311742117359001,-12.30358428191322,-19.41532521434073,
25,86.02674681775493,87.45288567872068,-9.112140529718058,-9.186444336306021,-9.300107728377142,-9.291678318914366,-10.1442596949792,-8.970439454414764,-8.973877004499228,-14.278307864667447,
25,279.16508235426596,290.4444564840969,-9.21740452129657,-9.170199458200445,-9.294436127644207,-9.32640077482014,-9.800804727346529,-9.133762892267898,-9.151574075301063,-15.839307427665712,
25,280.09650373296705,277.81912517218035,-9.460861731399548,-9.188890380859633,-9.395570031332689,-9.532405206913174,-10.039518730701241,-9.31232537653413,-9.423050564426893,-11.529723585426977,
25,287.6160577017695,287.3341040540997,-11.903758483928485,-11.86945940717232,-11.913894655406256,-11.862383372484016,-13.142359420151756,-11.932692517803948,-11.952388926762298,-17.459587784507995,
25,96.86150277606578,94.33443494268491,-12.302914343839724,-12.31377256907588,-12.325407218389987,-12.414937524053066,-12.683912440064343,-12.336249153250847,-12.332805927199098,-19.574272727915993,
26,89.74128195967253,93.80773215105765,-9.46463065419434,-9.510579675911478,-9.683428167030284,-9.912189644683004,-9.854520254031135,-9.494067717983173,-9.462402927978646,-13.939804399555694,
26,283.7443328164402,288.9807908661411,-9.382028363131555,-9.328896033473518,-9.409032961650555,-9.45767259396328,-10.138987414298356,-9.4290527755897,-9.425774874270452,-13.966393655847707,
26,278.1817415977182,284.6631053002313,-9.568684274542424,-8.745275502796613,-9.232129334045519,-9.550027975423243,-9.948302673432748,-8.98715933274446,-9.421951225482916,-10.347750886335655,
26,300.2689178242406,233.98997467847983,-11.79137189178663,-11.648539562695383,-11.775297399359651,-11.639504459350986,-12.261058235934247,-11.764811567831133,-11.777882623685135,-17.873938384868794,
26,103.85689678871044,101.4883612978077,-11.57876316477759,-11.668966534005719,-11.741246284634403,-11.689225516513153,-12.227431039647103,-11.48192514838722,-11.505108377559766,-17.893913802664414,
27,94.99302887997284,93.09162318145299,-9.12520135231406,-9.132710738030942,-9.161090019864172,-9.132710459463679,-9.763701341059244,-9.330479587158115,-9.292105106843099,-12.984396871722273,
27,289.8446589716318,288.3551903601491,-9.52481341372575,-8.77976247822705,-9.216638608455035,-9.454020614967868,-10.073428932057277,-9.258222337375457,-9.482858569408492,-10.806250122200273,
27,187.83063515982403,255.63783844569244,-9.114176203008972,-9.170344398247785,-9.087640500984355,-9.042272748098995,-9.69015314614585,-8.928630638787729,-8.953168872320967,-12.77861596157129,
27,267.51960443473547,262.13032237486965,-11.300252648923315,-11.366984773347774,-11.452881383113354,-11.563163954325802,-11.86333162440802,-11.310642105609023,-11.291488478041284,-17.797992552393932,
27,100.14765544171117,104.70944053553234,-11.434014870859649,-11.416921256981126,-11.38381180093432,-11.405937078705112,-12.048944108329506,-11.342221697283323,-11.341811609136164,-18.251982205343445,
28,98.22980913459358,95.59392714193216,-9.231941429057292,-9.155149422369831,-9.336241480648155,-9.416498183111765,-9.966606890998298,-9.323310859667222,-9.388051715870272,-11.73806557932808,
28,291.1539408331398,290.9489857911162,-9.468964812252867,-9.392308284745708,-9.656171614838431,-9.784925759980625,-10.193106253843794,-9.382115167551037,-9.435957188962133,-12.525342393254942,
28,279.70119967455724,275.2466195206552,-9.065961844155657,-9.270892881220412,-9.414353839371147,-9.425018760859961,-10.188878202717685,-8.875795048054671,-8.902492249300376,-12.804103595439052,
28,293.0384334152481,271.93762107517495,-10.510710956959699,-10.646775339801344,-10.79354807677706,-10.912610745537485,-11.534504807426552,-10.506729171339936,-10.499366773964327,-16.97140663235412,
