episode,last reward,average reward,step0,step1,step2,step3,step10,qmodel
episode,last reward,average reward,step0,step1,step2,step3,step10,qmodel
1,-125.10332839989324,-109.26089545409963
2,-90.81075352648882,-87.13264160120417
3,-78.06826682438384,-70.25280421439962
4,-54.370554646557196,-57.11165386031281
5,-50.919867281727626,-47.35870713479323
6,-43.85681822658187,-39.20746152143878
7,-38.62887828750917,-33.81776616972611
8,-31.175995650622212,-28.927984815682716
9,-22.866050515824824,-25.195060953505585
10,-22.770688888703713,-21.848377352132175
11,-20.159884779754737,-19.422166113428045
12,-15.894513625920348,-17.671463098707584
13,-12.940145073115856,-15.895452466225423
14,-15.767988233544145,-14.270892543744617
15,-10.847959565005485,-12.7684625351994
16,-11.461315236119091,-11.471117231320376
17,-7.524340532452379,-10.23411895813519
18,-12.780001326892922,-9.43439055212447
19,-7.913700828828856,-8.505572140519238
20,-7.523741541620986,-7.938703801573548
21,-4.243719946664887,-7.61258576199161
22,-6.192976913378521,-7.0997419662806385
23,-9.51205310871898,-6.763935770815642
24,-8.25422761442779,-6.597358539615319
25,-6.292214694235643,-6.326208325931034
26,-10.301161084368996,-6.386748268564618
27,-3.9515263196114456,-5.889876283699029
28,-8.430488904979246,-5.847868909734064
29,-9.200017429404609,-5.835215739440516
30,-8.557469372085656,-5.730670943987724
31,-5.018497443556657,-5.738672798611132
32,-8.404828463565984,-5.751290172336287
33,-6.792168086700491,-5.396816977057576
34,-4.069909351406162,-5.2336582466426345
35,-2.36197740375539,-5.3832097104313315
36,-3.372902734629647,-5.291409197328251
37,-6.500811472525383,-5.375950783564176
38,-4.990744998310781,-5.207770500985615
39,-3.1558172138906575,-5.257915114711812
40,-7.269450445630865,-4.960648828588772
41,-3.002241059609119,-5.056905097505776
42,-7.090879458427088,-4.948110850080395
43,-6.737527464868222,-4.996762674521368
44,-1.664851434516016,-5.222631489335342
45,-5.353293620195469,-4.811543210654328
46,-5.650177299901293,-4.847840248541569
47,-12.583341845508295,-4.923921340472815
48,-6.336106333588118,-4.760067497649883
49,-6.340934548789359,-5.0228808347165455
50,-9.024628525124761,-4.95318215021998

